time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	
9.301120244166446582e+01 1.144595644283089086e+02 9.844134865207072949e+01 1.063650828955032068e+02 9.264899115740044522e+01 8.571653562567054507e+01 7.827343684092970477e+01 8.892475657970898339e+01 9.035473940034361817e+01
1.027240450984405271e+02 1.311168773149485105e+02 1.001518647606709749e+02 9.667874942950032846e+01 1.146171212404020707e+02 1.015508155636528471e+02 1.250070241210813862e+02 9.201349197672858793e+01 1.093893940316006876e+02
1.056141329350576825e+02 9.432402663679512500e+01 9.948948858457549704e+01 9.760822150640731820e+01 1.107987985182347472e+02 1.020760103273719608e+02 1.161347523901304726e+02 1.057713061052218819e+02 1.030588723504939708e+02
1.010031954957140385e+02 8.237194610113382964e+01 9.615403403921109771e+01 8.774095020279384016e+01 1.007821938945002529e+02 8.763764543683447528e+01 9.647953713956633237e+01 9.488551291004449695e+01 9.895072766577007428e+01
1.088767795639835470e+02 1.154175866131210597e+02 1.005295288756483529e+02 1.018222479680111121e+02 1.014030796212661869e+02 1.020247613881638529e+02 9.450766622125532024e+01 8.507442112770075937e+01 1.049755881330899570e+02
9.540400197631706192e+01 1.131715604722573119e+02 9.589608853601967553e+01 1.056087073370345593e+02 1.172162362315740154e+02 9.581450419523982021e+01 9.442102469649746865e+01 9.327610406431124090e+01 1.168490484691238720e+02
1.095955530531516615e+02 1.126060789624816465e+02 9.578003732996404551e+01 1.014121207026970239e+02 1.037264271163143974e+02 1.041565429165951855e+02 1.010625562005783564e+02 8.821874542076956516e+01 1.016655551168049527e+02
9.668316681968615001e+01 9.578789483676624172e+01 9.417951465357211305e+01 9.161424158950035235e+01 9.582322959057938760e+01 1.049558335422047861e+02 1.134862517111767488e+02 8.768849683098429182e+01 9.519953611101364288e+01
9.543061747160264474e+01 9.159774253657741383e+01 1.003499210664833043e+02 9.888574585103812353e+01 1.043826960460099258e+02 1.020837931763052779e+02 8.479546384410809878e+01 9.436577050103912256e+01 9.848909164004743388e+01
9.806164060476837108e+01 9.919059079003775992e+01 1.063898348809488539e+02 9.985498568440019085e+01 9.276797578882262485e+01 9.919980852028490403e+01 1.152992276645167919e+02 1.067488883630302752e+02 1.052508432623504291e+02
9.034886289335653942e+01 1.054191128039236673e+02 9.758644565480015842e+01 9.648406183817350268e+01 1.126830613629457076e+02 1.033105925120936774e+02 1.036743108251916112e+02 1.150352681930786645e+02 1.005249783511773529e+02
8.953349610409291870e+01 1.011184473444072154e+02 1.019917267362407785e+02 1.079447338051923850e+02 8.501707944322733113e+01 1.102014756154664781e+02 1.103167245190012693e+02 1.174307428727698692e+02 9.701404230926863193e+01
1.080835414188995287e+02 9.865678556683502620e+01 8.899732148853045999e+01 9.646894107373910288e+01 1.087260711325846074e+02 9.226783522890028166e+01 1.017555713574281810e+02 1.174651296971546515e+02 1.073570340309039750e+02
9.401394091400857178e+01 1.136545258438518999e+02 8.977979995346076691e+01 1.004590618816434926e+02 1.162061642940415567e+02 9.933168573276959989e+01 1.136739722263901484e+02 8.568903208534482019e+01 1.079436104572370141e+02
1.106136629352954799e+02 1.183976357757530025e+02 9.224961636690156297e+01 1.002680042075249958e+02 1.000449599048258165e+02 8.683773794030065574e+01 7.546139900951799007e+01 1.129955767306922780e+02 1.161267774264472052e+02
1.012707808863342933e+02 8.590397781044197245e+01 1.043504930236851749e+02 1.033034699725438657e+02 9.218209422333089265e+01 9.796744680353288004e+01 8.896916818297366092e+01 1.108883500017318653e+02 1.101589240001572563e+02
1.070912601155395834e+02 8.724148292959634432e+01 9.454012031157073181e+01 1.128060642976372918e+02 9.301152917892353855e+01 9.833997186003777813e+01 1.235432350370062693e+02 1.005133580724121316e+02 1.105561153744018839e+02
1.069417104512204446e+02 1.062061159646871857e+02 1.003903800068128476e+02 8.424819239243490188e+01 1.049852374561648531e+02 9.228697124333595525e+01 8.088978403076099255e+01 1.105433307382365058e+02 1.054217118935004578e+02
1.073174779590121801e+02 9.847437506237605476e+01 8.776895387336206511e+01 1.345120942697325574e+02 1.079126059928426002e+02 8.909709020455878203e+01 9.742288703471993472e+01 1.032340326008098259e+02 1.108896158455060146e+02
9.807002625731465173e+01 9.058421881723079139e+01 9.811133597102360682e+01 1.139706693339424106e+02 8.302829547685520595e+01 1.030989161230208992e+02 1.124800141366555408e+02 9.698296577901068360e+01 1.015530052868622874e+02
9.799099633808130250e+01 1.073522576843185021e+02 9.397001873737882249e+01 1.096348631713633779e+02 1.056117769132954862e+02 8.994897637215164821e+01 1.133926924921516530e+02 9.927605738173382122e+01 1.013731072176967132e+02
1.097332881037177117e+02 1.079181468635009082e+02 1.037499478329367832e+02 1.135396510588066690e+02 1.112370993607235334e+02 9.574417545813888353e+01 9.058830900753181936e+01 8.326572053284958486e+01 9.186220731249053983e+01
1.155855728558254896e+02 9.053821620640479750e+01 1.063053215825350151e+02 7.726821461037361871e+01 1.149739890894115462e+02 1.048875356004333810e+02 1.013448175937525946e+02 1.022247056858914789e+02 1.073034558539612817e+02
1.122548487161908639e+02 8.656526953128246760e+01 8.715069561739649373e+01 8.135898675345788433e+01 9.180387187915567893e+01 1.088162665623013794e+02 1.045799859457753769e+02 1.014522593714281555e+02 7.463477902251325702e+01
1.113024316764706043e+02 7.517434982196988358e+01 1.049168583999808675e+02 7.844544812381019483e+01 1.032318602033091253e+02 1.076260738175689227e+02 9.723980351566378033e+01 9.515685634198368348e+01 1.000971718411910558e+02
8.801936391953475436e+01 1.276597116755874595e+02 1.125826572889629631e+02 8.180824368532795177e+01 1.013316847814650004e+02 9.308802000655065001e+01 1.037516381286370404e+02 1.039839834263534755e+02 9.757854203313468133e+01
9.038798814984066610e+01 1.138778777482697535e+02 9.134183631061533504e+01 8.916021033230828152e+01 1.044150731572920279e+02 1.015086077459883995e+02 8.981057876915929228e+01 1.069907050833618314e+02 9.824253901736513228e+01
9.263416771565918850e+01 1.089139164541381604e+02 1.065539216733076842e+02 1.058073231271572325e+02 1.058513290973459675e+02 9.135172296447404960e+01 8.160481886423684728e+01 1.141231773155113984e+02 9.776402853570151308e+01
9.262739961180848525e+01 1.053049856541537963e+02 8.768138763431585403e+01 9.619284441804177277e+01 1.062829014898207589e+02 9.321625102754406100e+01 8.927241516713226588e+01 1.077144056953502513e+02 1.039673897123841755e+02
8.892034243773997559e+01 1.176419596249045298e+02 1.115928582779690998e+02 1.087633417174100288e+02 1.072856311211242257e+02 9.247259518438988835e+01 1.054816815543800033e+02 9.686411735729998895e+01 9.322118995731190694e+01
9.811180957944637271e+01 1.196994386135252739e+02 1.108672142643691814e+02 1.005055119500619014e+02 1.036615852756706033e+02 9.360203719470145245e+01 9.977907560382632823e+01 8.554361551220796400e+01 1.074517309836386971e+02
9.202273098175392363e+01 1.188103784539896282e+02 1.072485259902702524e+02 1.158728275895969944e+02 9.310740768323280747e+01 9.377028221892493320e+01 9.771346724844069342e+01 8.692495001238181374e+01 1.143276544823528695e+02
1.044895624507092009e+02 1.225832601924510641e+02 8.558658161406211207e+01 1.084907264530392439e+02 1.099075245840198392e+02 9.494323882060125186e+01 1.012574644355239997e+02 9.119073426381322633e+01 7.995521389386213684e+01
1.000056953167795797e+02 1.354105478293318185e+02 1.124836740552279934e+02 1.088940628850336196e+02 9.659990286571934348e+01 9.943844601074000877e+01 1.064325401743525248e+02 8.765007866720179663e+01 1.100230072321966190e+02
9.665840175364978393e+01 1.046358002423143461e+02 1.100065020886508051e+02 8.790088468712673375e+01 9.942180359823666436e+01 9.713510358047298610e+01 1.109212597595989109e+02 9.059602568373361464e+01 8.421375570126605226e+01
1.025108580971876648e+02 9.930188434821714338e+01 1.114932689976544395e+02 1.148286379752079256e+02 8.660079649969185311e+01 9.011260576518974119e+01 8.747160395402079303e+01 8.952495728174447720e+01 9.690371706271790231e+01
1.034748847208039422e+02 9.074828559771813730e+01 9.099673242908139059e+01 1.027337901756007028e+02 7.841022856451763801e+01 9.376547400374272456e+01 1.028531018850051737e+02 9.616652364013394561e+01 9.434999304149131660e+01
1.015895848283177401e+02 8.708132745840228495e+01 9.987734376244365819e+01 9.730012739499416341e+01 8.824317320568047762e+01 8.989117706975264355e+01 8.796072422840387617e+01 1.027379709871300406e+02 9.350604309158046590e+01
