word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	
0.0197980 0.0210424 0.0204778 0.0200091 0.0205153 0.0200870 0.0202385 0.0199729 0.0197773 0.0191731 0.0199249 0.0204948 0.0203045 0.0199526 0.0195651 0.0201482 0.0196160 0.0200133 0.0197987 0.0204158 0.0200924 0.0197529 0.0203262 0.0204656 0.0196113 0.0191438 0.0200945 0.0204064 0.0198467 0.0204002 0.0201064 0.0203262 0.0199574 0.0195329 0.0191986 0.0207039 0.0194598 0.0201561 0.0203231 0.0203000 0.0200185 0.0198717 0.0197459 0.0202736 0.0198840 0.0190176 0.0202920 0.0194531 0.0194133 0.0205010
0.0208312 0.0207768 0.0199940 0.0205536 0.0197336 0.0194298 0.0203145 0.0192524 0.0199845 0.0201774 0.0197091 0.0200121 0.0193301 0.0197511 0.0200496 0.0200167 0.0197818 0.0190928 0.0201844 0.0198427 0.0208348 0.0197299 0.0194158 0.0203198 0.0199715 0.0200811 0.0196540 0.0198660 0.0187752 0.0201329 0.0193866 0.0194913 0.0200382 0.0211392 0.0193810 0.0210209 0.0205116 0.0209579 0.0200750 0.0202573 0.0199365 0.0201890 0.0198340 0.0202824 0.0198702 0.0196378 0.0203107 0.0198990 0.0206743 0.0195080
0.0209803 0.0203698 0.0199823 0.0201463 0.0201548 0.0198826 0.0203081 0.0207690 0.0205980 0.0201414 0.0201966 0.0207464 0.0192448 0.0201216 0.0193528 0.0191274 0.0193782 0.0196006 0.0206744 0.0204768 0.0198577 0.0204531 0.0201638 0.0197408 0.0197989 0.0205024 0.0198251 0.0197732 0.0198891 0.0196038 0.0199854 0.0198908 0.0194893 0.0196750 0.0203482 0.0200425 0.0197731 0.0191953 0.0193385 0.0196057 0.0194446 0.0198934 0.0203543 0.0203275 0.0203361 0.0201025 0.0201574 0.0202923 0.0194951 0.0203933
0.0197947 0.0210384 0.0205488 0.0200046 0.0205141 0.0200854 0.0202309 0.0199714 0.0197761 0.0191720 0.0199237 0.0204931 0.0203033 0.0199514 0.0195639 0.0201470 0.0196148 0.0200195 0.0198049 0.0204112 0.0200986 0.0197506 0.0203242 0.0204614 0.0196079 0.0191427 0.0200933 0.0204021 0.0198449 0.0203990 0.0201052 0.0203250 0.0199563 0.0195311 0.0191975 0.0207026 0.0194586 0.0201544 0.0203219 0.0202988 0.0200169 0.0198698 0.0197447 0.0202703 0.0198828 0.0190164 0.0202908 0.0194512 0.0194121 0.0204993
0.0210146 0.0201949 0.0199602 0.0198162 0.0196746 0.0205252 0.0206904 0.0203521 0.0194654 0.0202198 0.0203306 0.0201711 0.0205326 0.0192962 0.0196157 0.0200846 0.0205418 0.0194997 0.0199844 0.0192778 0.0200702 0.0196610 0.0194105 0.0200287 0.0207023 0.0192631 0.0195568 0.0198378 0.0202829 0.0207428 0.0196839 0.0199053 0.0199483 0.0193110 0.0201898 0.0201064 0.0196798 0.0197015 0.0198256 0.0196098 0.0195199 0.0194939 0.0205144 0.0203312 0.0202903 0.0204819 0.0199067 0.0198584 0.0203483 0.0204896
0.0208126 0.0207386 0.0205872 0.0205314 0.0197227 0.0194192 0.0203019 0.0192418 0.0199735 0.0201663 0.0196983 0.0200011 0.0193195 0.0197402 0.0200386 0.0200058 0.0197709 0.0190824 0.0201733 0.0198311 0.0208233 0.0197182 0.0194040 0.0203081 0.0199601 0.0200701 0.0196432 0.0198539 0.0187640 0.0201219 0.0193760 0.0194806 0.0200272 0.0211266 0.0193704 0.0210093 0.0205004 0.0209464 0.0200640 0.0202462 0.0199256 0.0201769 0.0198231 0.0202708 0.0198594 0.0196270 0.0202995 0.0198870 0.0206630 0.0194973
0.0208117 0.0207341 0.0205839 0.0205297 0.0197230 0.0194194 0.0203019 0.0192421 0.0199738 0.0201666 0.0196985 0.0200014 0.0193197 0.0197405 0.0200389 0.0200060 0.0197712 0.0190826 0.0201736 0.0198312 0.0208236 0.0197183 0.0194040 0.0203082 0.0199603 0.0200704 0.0196435 0.0198540 0.0187641 0.0201222 0.0193763 0.0194809 0.0200275 0.0211267 0.0193707 0.0210096 0.0205006 0.0209467 0.0200643 0.0202464 0.0199258 0.0201770 0.0198234 0.0202710 0.0198596 0.0196273 0.0202998 0.0198871 0.0206633 0.0194976
0.0199232 0.0200772 0.0199134 0.0199883 0.0197893 0.0195430 0.0194727 0.0205179 0.0200741 0.0205749 0.0198732 0.0206220 0.0198609 0.0200792 0.0205225 0.0192908 0.0191953 0.0196455 0.0200987 0.0192953 0.0196916 0.0195756 0.0197354 0.0202283 0.0189960 0.0195289 0.0202001 0.0206028 0.0203480 0.0198241 0.0201692 0.0195727 0.0198057 0.0203866 0.0216577 0.0203815 0.0200157 0.0204028 0.0206471 0.0204514 0.0197718 0.0203842 0.0182440 0.0200435 0.0197333 0.0207467 0.0200152 0.0203505 0.0200767 0.0200554
0.0208069 0.0207143 0.0205694 0.0205219 0.0197235 0.0194200 0.0203015 0.0192426 0.0199743 0.0201671 0.0196991 0.0200020 0.0193203 0.0197410 0.0200394 0.0200066 0.0197717 0.0190831 0.0201741 0.0198312 0.0208242 0.0197182 0.0194037 0.0203083 0.0199605 0.0200710 0.0196440 0.0198536 0.0187639 0.0201227 0.0193768 0.0194815 0.0200280 0.0211265 0.0193712 0.0210102 0.0205309 0.0209473 0.0200649 0.0202470 0.0199264 0.0201767 0.0198239 0.0202712 0.0198602 0.0196278 0.0203004 0.0198868 0.0206639 0.0194981
0.0209774 0.0203620 0.0199923 0.0201460 0.0201546 0.0198824 0.0203078 0.0207687 0.0205978 0.0201412 0.0201963 0.0207462 0.0192445 0.0201213 0.0193525 0.0191271 0.0193779 0.0196004 0.0206741 0.0204766 0.0198575 0.0204529 0.0201622 0.0197405 0.0197987 0.0205021 0.0198249 0.0197729 0.0198878 0.0196035 0.0199851 0.0198906 0.0194891 0.0196737 0.0203480 0.0200422 0.0197903 0.0191951 0.0193383 0.0196055 0.0194444 0.0198920 0.0203541 0.0203273 0.0203359 0.0201023 0.0201571 0.0202909 0.0194948 0.0203931
0.0199173 0.0200732 0.0199092 0.0199846 0.0199842 0.0195355 0.0194692 0.0205088 0.0200707 0.0205672 0.0198698 0.0206162 0.0198575 0.0200737 0.0205190 0.0192875 0.0192001 0.0196405 0.0200937 0.0192919 0.0196866 0.0195712 0.0197321 0.0202248 0.0189927 0.0195256 0.0201967 0.0205989 0.0203446 0.0198207 0.0201658 0.0195694 0.0198024 0.0203832 0.0216540 0.0203781 0.0200123 0.0203968 0.0206436 0.0204480 0.0197662 0.0203807 0.0182409 0.0200400 0.0197300 0.0207431 0.0200118 0.0203471 0.0200733 0.0200498
0.0208009 0.0206901 0.0205514 0.0205123 0.0197544 0.0194205 0.0203007 0.0192431 0.0199749 0.0201677 0.0196996 0.0200025 0.0193208 0.0197416 0.0200400 0.0200071 0.0197862 0.0190837 0.0201747 0.0198311 0.0208248 0.0197179 0.0194031 0.0203083 0.0199606 0.0200715 0.0196445 0.0198531 0.0187636 0.0201233 0.0193773 0.0194820 0.0200286 0.0211261 0.0193717 0.0210108 0.0205305 0.0209479 0.0200654 0.0202475 0.0199269 0.0201763 0.0198244 0.0202713 0.0198607 0.0196283 0.0203009 0.0198863 0.0206644 0.0194987
