log.prior	log.likelihood	log.likelihood.test.set
-9.159051830936041370e+02 0.000000000000000000e+00 -2.958278567218198418e+01
-9.408804685405319788e+02 0.000000000000000000e+00 -2.964255874712584671e+01
-9.517140321589636187e+02 0.000000000000000000e+00 -3.000459590751809458e+01
-9.553018732021637334e+02 0.000000000000000000e+00 -2.844976765533262153e+01
-9.495544000109102853e+02 0.000000000000000000e+00 -3.016937556439532386e+01
-9.295255761613836967e+02 0.000000000000000000e+00 -3.016067246520746892e+01
-9.074101553785405940e+02 0.000000000000000000e+00 -2.997087484115398581e+01
-8.849046898388320415e+02 0.000000000000000000e+00 -2.998564183492736390e+01
-8.793916157539968026e+02 0.000000000000000000e+00 -2.892476638129953415e+01
-8.847420236159799742e+02 0.000000000000000000e+00 -2.885285442701855629e+01
-8.847411070041862331e+02 0.000000000000000000e+00 -2.857351837501283853e+01
-8.875993769532464057e+02 0.000000000000000000e+00 -2.933880170048678337e+01
-9.216128167039142909e+02 0.000000000000000000e+00 -2.871755590874001030e+01
-9.196692377960820295e+02 0.000000000000000000e+00 -2.819043919664461839e+01
-9.430457987083942726e+02 0.000000000000000000e+00 -2.824817531419236616e+01
-9.663134408986985591e+02 0.000000000000000000e+00 -2.915865033939250850e+01
-9.546919469746688947e+02 0.000000000000000000e+00 -3.040671798907797552e+01
-9.338065145845853294e+02 0.000000000000000000e+00 -3.045752195409934870e+01
-9.487517004790588544e+02 0.000000000000000000e+00 -2.969145932869903959e+01
-9.236173360860618686e+02 0.000000000000000000e+00 -2.906612075431623055e+01
-9.028572143134056205e+02 0.000000000000000000e+00 -2.960457030385283872e+01
-9.032896073329347928e+02 0.000000000000000000e+00 -3.006161971867437899e+01
-9.284764797442377358e+02 0.000000000000000000e+00 -2.956664782411000658e+01
-9.132885741885711468e+02 0.000000000000000000e+00 -2.935093359272656244e+01
-9.128425483275165107e+02 0.000000000000000000e+00 -2.899657739726013972e+01
-8.914665933586759365e+02 0.000000000000000000e+00 -2.847034584792895373e+01
-8.906863593960989647e+02 0.000000000000000000e+00 -2.889094869105576890e+01
-8.642641246979603693e+02 0.000000000000000000e+00 -2.978834258953267522e+01
-8.652509368718486940e+02 0.000000000000000000e+00 -3.032923441024530575e+01
-8.847485782483747698e+02 0.000000000000000000e+00 -3.044992312377823396e+01
-8.439091975768617431e+02 0.000000000000000000e+00 -2.989388291848655399e+01
-8.651495140667249188e+02 0.000000000000000000e+00 -2.903328251148023753e+01
-8.914333597477782405e+02 0.000000000000000000e+00 -2.909321375791314779e+01
-8.847467232048027199e+02 0.000000000000000000e+00 -2.782092241933250421e+01
-8.947093048431470379e+02 0.000000000000000000e+00 -2.872245007929564053e+01
-8.939579218901526474e+02 0.000000000000000000e+00 -2.931655707865419913e+01
-8.971253394781808765e+02 0.000000000000000000e+00 -2.981760885101004988e+01
-9.136285630686491004e+02 0.000000000000000000e+00 -2.998002735818491260e+01
-9.038707122251926194e+02 0.000000000000000000e+00 -3.042959171254980788e+01
-9.060629516889877095e+02 0.000000000000000000e+00 -2.947374524630551207e+01
-8.926220814085640995e+02 0.000000000000000000e+00 -3.046411351790531796e+01
-8.862480165936831327e+02 0.000000000000000000e+00 -2.991441204912815977e+01
-8.831611325938094978e+02 0.000000000000000000e+00 -3.068244015561526794e+01
-8.884715799296451451e+02 0.000000000000000000e+00 -2.901357218172118735e+01
-8.897845755240134622e+02 0.000000000000000000e+00 -2.900061275181869291e+01
-9.017401207540348196e+02 0.000000000000000000e+00 -2.829888312503992154e+01
-9.003043648212128574e+02 0.000000000000000000e+00 -2.877030419551672935e+01
-8.910778533814370803e+02 0.000000000000000000e+00 -2.956653553957465874e+01
-8.954518792203659814e+02 0.000000000000000000e+00 -2.885297304933432372e+01
-8.929590531770463713e+02 0.000000000000000000e+00 -2.961612711842951740e+01
-8.762481901089867051e+02 0.000000000000000000e+00 -2.910609893423449535e+01
-8.705998283859573803e+02 0.000000000000000000e+00 -2.977725138298573881e+01
-8.743262725635306651e+02 0.000000000000000000e+00 -2.924798543346675217e+01
-8.745368942174015956e+02 0.000000000000000000e+00 -2.839093470176925393e+01
-8.529930413364920696e+02 0.000000000000000000e+00 -2.911826956026901314e+01
-8.789503579483200610e+02 0.000000000000000000e+00 -2.862971168045402237e+01
-8.743010383650862423e+02 0.000000000000000000e+00 -2.967728186779140742e+01
-8.518869294330311277e+02 0.000000000000000000e+00 -3.004455439515750470e+01
-8.595958702342549032e+02 0.000000000000000000e+00 -3.093703248445550003e+01
-8.419784302891071093e+02 0.000000000000000000e+00 -3.162727051455328819e+01
-8.532756319931706912e+02 0.000000000000000000e+00 -3.158084847383067029e+01
-8.569134244963286164e+02 0.000000000000000000e+00 -3.075809048513576727e+01
-8.696711996951611354e+02 0.000000000000000000e+00 -3.004976350742937541e+01
-8.713790730668325750e+02 0.000000000000000000e+00 -3.060067035454682127e+01
-8.753030082350851444e+02 0.000000000000000000e+00 -3.100538514731033501e+01
-8.889647656502714881e+02 0.000000000000000000e+00 -3.106908708701692490e+01
-8.971305063849544013e+02 0.000000000000000000e+00 -3.150141325845930851e+01
-8.936373669146132670e+02 0.000000000000000000e+00 -3.162261940701252172e+01
-8.774140627834977977e+02 0.000000000000000000e+00 -3.176280370035938461e+01
-8.870195819520456553e+02 0.000000000000000000e+00 -3.072698170704902054e+01
-9.043555125795292042e+02 0.000000000000000000e+00 -3.005110943704947601e+01
-9.140557970048412244e+02 0.000000000000000000e+00 -2.974642139618295289e+01
-9.196632439977177000e+02 0.000000000000000000e+00 -2.946378321204500139e+01
-9.251625634581083659e+02 0.000000000000000000e+00 -3.001963339615976167e+01
-9.052134008605075906e+02 0.000000000000000000e+00 -3.049068655811184669e+01
-8.962502504805731860e+02 0.000000000000000000e+00 -2.916357344378891980e+01
-8.800364927176569836e+02 0.000000000000000000e+00 -2.948012076471803766e+01
-8.945965611216548723e+02 0.000000000000000000e+00 -2.937606081123622914e+01
-8.927498245106332888e+02 0.000000000000000000e+00 -2.916271349023551807e+01
-8.957170481311222829e+02 0.000000000000000000e+00 -2.921536889908419710e+01
-8.689216361645660527e+02 0.000000000000000000e+00 -2.885871959957789556e+01
-9.152006533756250519e+02 0.000000000000000000e+00 -2.869767392243886661e+01
-9.213798213498810128e+02 0.000000000000000000e+00 -2.771756791550450316e+01
-9.383161688035065708e+02 0.000000000000000000e+00 -2.816224719453964553e+01
-9.506678366576882127e+02 0.000000000000000000e+00 -2.810396372776229157e+01
-9.426470155188920899e+02 0.000000000000000000e+00 -2.967187074818660619e+01
-9.322655442862651398e+02 0.000000000000000000e+00 -2.904816360684081644e+01
-9.396791419252671176e+02 0.000000000000000000e+00 -3.067541803892029861e+01
-9.554483006165429515e+02 0.000000000000000000e+00 -3.026643643422920604e+01
-9.461525726567411994e+02 0.000000000000000000e+00 -2.965959564348179356e+01
-9.484222407861198008e+02 0.000000000000000000e+00 -3.010249096171179417e+01
-9.669429748302588905e+02 0.000000000000000000e+00 -3.009813275431483248e+01
-9.406394504774493726e+02 0.000000000000000000e+00 -3.077506695164515804e+01
-9.507730348298575791e+02 0.000000000000000000e+00 -2.964112159430047200e+01
-9.462475765674041668e+02 0.000000000000000000e+00 -3.087092652556863470e+01
-9.558623327259720099e+02 0.000000000000000000e+00 -3.077784474873948284e+01
-9.384632480418689511e+02 0.000000000000000000e+00 -3.070395788845742402e+01
-8.977599308172764268e+02 0.000000000000000000e+00 -3.022490984058288177e+01
-8.940988007242166304e+02 0.000000000000000000e+00 -2.959555848430967728e+01
-8.885211188619782661e+02 0.000000000000000000e+00 -3.027723920221248477e+01
-9.220165829242569089e+02 0.000000000000000000e+00 -2.952351905245997443e+01
-9.381403420746476058e+02 0.000000000000000000e+00 -2.911310690728650741e+01
-9.208043702073330223e+02 0.000000000000000000e+00 -2.871758452352052871e+01
-9.001585531959457285e+02 0.000000000000000000e+00 -2.973550154828008374e+01
-9.033559204957701922e+02 0.000000000000000000e+00 -3.109293936048160845e+01
-9.040336145347399679e+02 0.000000000000000000e+00 -3.014141516679413257e+01
-9.079261058520876304e+02 0.000000000000000000e+00 -2.983437096412028211e+01
-9.072483013010053128e+02 0.000000000000000000e+00 -2.905195221602622269e+01
-8.840819280601226637e+02 0.000000000000000000e+00 -2.836366435442512568e+01
-8.749133087609279755e+02 0.000000000000000000e+00 -2.946066032786103506e+01
-8.560833510882871451e+02 0.000000000000000000e+00 -2.897322818466025751e+01
-8.706207505016498089e+02 0.000000000000000000e+00 -2.936404812446598100e+01
-8.792517545018635019e+02 0.000000000000000000e+00 -2.876096788391217274e+01
-8.843459351543942830e+02 0.000000000000000000e+00 -2.934333380645517764e+01
-9.168344485167544917e+02 0.000000000000000000e+00 -2.976304317921848508e+01
-9.132591487567084414e+02 0.000000000000000000e+00 -2.965126741122276144e+01
-9.211645227376181992e+02 0.000000000000000000e+00 -2.975077297886514316e+01
-9.249580507004684478e+02 0.000000000000000000e+00 -2.843657520444664044e+01
-9.324185802307299582e+02 0.000000000000000000e+00 -2.924956654547879964e+01
-9.368097108763323604e+02 0.000000000000000000e+00 -2.855208071168564743e+01
-9.296516170713268821e+02 0.000000000000000000e+00 -2.927909476217394058e+01
-9.223829337161789681e+02 0.000000000000000000e+00 -2.888806402592601330e+01
-9.095836687957075810e+02 0.000000000000000000e+00 -2.892108601788930855e+01
-9.015955266931589449e+02 0.000000000000000000e+00 -2.930003566434662332e+01
-8.894880272446985146e+02 0.000000000000000000e+00 -2.910006728017724242e+01
